"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NUE33C36","tvBroadcast","2022","","20h22 sur twitch: Zemmour","20h22 sur twitch","","","","","","2022-02-01","2024-07-15 10:18:50","2024-07-15 16:32:32","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","","","","","","Zemmour, Eric","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GAZCY7VE","tvBroadcast","2022","","Backseat : Jadot","Backseat (Jean Massiet)","","","","https://www.twitch.tv/videos/1421378900","#Jadot2022|#Backseat|#Changeons","2022-03-10","2024-07-15 10:46:32","2024-07-17 11:47:49","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","Massiet, Jean","","","","","Jadot, Yannick","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FJUX7RY","tvBroadcast","2022","","Backseat : Poutou","Backseat (Jean Massiet)","","","","https://poutou2022.org/node/156","","2022-02-10","2024-07-15 10:51:11","2024-07-15 11:05:15","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","Massiet, Jean","","","","","Poutou, Philippe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FRL4BAA","tvBroadcast","2022","","Le débat du siècle: Jadot, Roussel, Hidalgo, Poutou, Pécresse","Le débat du siècle","","","","https://www.twitch.tv/videos/1424445409","#DebatduSiècle","2022-03-13","2024-07-15 10:52:04","2024-07-17 11:47:12","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","","","","","","Jadot, Yannick; Roussel, Fabien; Hidalgo, Anne; Poutou, Philippe; Pécresse, Valérie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HKTXKA9","tvBroadcast","2022","","20h22 sur Twitch : Pécresse","20h22 sur Twitch","","","","https://www.twitch.tv/videos/1299032652","","2022-02-15","2024-07-15 10:54:59","2024-07-15 11:00:05","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pécresse, Valérie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRXAFKAH","tvBroadcast","2022","","20h22 sur Twitch : Le Pen","20h22 sur Twitch","","","","","#LePen","2022-02-07","2024-07-15 10:58:55","2024-07-17 11:47:31","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","","","","","","Le Pen, Marine","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Z7QSDWE","tvBroadcast","2022","","20h22 sur Twitch : Hidalgo","20h22 sur Twitch","","","","https://www.twitch.tv/videos/1275720685 ; https://www.twitch.tv/videos/1275764978","","2022-01-25","2024-07-15 11:00:09","2024-07-15 11:04:56","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","","","","","","Hidalgo, Anne","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5DGKAHU","tvBroadcast","2022","","Backseat : Hidalgo","Backseat (Jean Massiet)","","","","https://www.twitch.tv/videos/1270073159","","2022-01-20","2024-07-15 11:00:57","2024-07-15 11:05:09","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","Massiet, Jean","","","","","Hidalgo, Anne","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MKXN5F5","tvBroadcast","2022","","Le débat du siècle: Mélenchon (rattrapage)","Le débat du siècle","","","","https://www.twitch.tv/videos/1424445409","#DebatduSiècle|#Mélenchon|#MelenchonPrésident2022","2022-03-16","2024-07-15 11:01:47","2024-07-17 11:48:02","","","","","","","","","","","","","Twitch","Twitch","Français","","","","","","","","","","","Twitch","","","","","","","","","","","","","","","","","","","Mélenchon, Jean-Luc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLZX5LZT","tvBroadcast","2022","","Face à Baba : Pécresse","Face à Baba","","","","https://www.cnews.fr/divertissement/2022-03-23/face-baba-sur-c8-qui-sont-les-invites-qui-debattront-ce-soir-avec-valerie","","2022-03-23","2024-07-15 11:24:35","2024-07-15 11:27:14","","","","","","","","","","","","","C8","C8","Français","","","","","","","","","","","C8; Hanouna","","","","","","","","","","","","","","Hanouna, Cyril","","","","","Pécresse, Valérie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAA8HGSV","tvBroadcast","2022","","Face à Baba : Le Pen","Face à Baba","","","","","","2022-03-16","2024-07-15 11:26:37","2024-07-15 11:27:10","","","","","","","","","","","","","C8","C8","Français","","","","","","","","","","","C8; Hanouna","","","","","","","","","","","","","","Hanouna, Cyril","","","","","Le Pen, Marine","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXD8G4DJ","tvBroadcast","2022","","Face à Baba : Mélenchon","Face à Baba","","","","","","2022-01-27","2024-07-15 11:27:17","2024-07-15 11:27:42","","","","","","","","","","","","","C8","C8","Français","","","","","","","","","","","C8; Hanouna","","","","","","","","","","","","","","Hanouna, Cyril","","","","","Mélenchon, Jean-Luc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7F4XMDX","tvBroadcast","2022","","Face à Baba : Roussel","Face à Baba","","","","","","2022-03-23","2024-07-15 11:27:59","2024-07-15 11:28:27","","","","","","","","","","","","","C8","C8","Français","","","","","","","","","","","C8; Hanouna","","","","","","","","","","","","","","Hanouna, Cyril","","","","","Roussel, Fabien","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WJAGYJF","tvBroadcast","2022","","Face à Baba : Jadot","Face à Baba","","","","","","2022-03-16","2024-07-15 11:28:30","2024-07-15 11:29:00","","","","","","","","","","","","","C8","C8","Français","","","","","","","","","","","C8; Hanouna","","","","","","","","","","","","","","Hanouna, Cyril","","","","","Jadot, Yannick","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHW8MXAI","tvBroadcast","2022","","10 minutes pour convaincre: Mélenchon","10 minutes pour convaincre","","","","","","2022-04-07","2024-07-15 11:32:19","2024-07-15 11:34:11","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Mélenchon, Jean-Luc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBKXFTIM","tvBroadcast","2022","","10 minutes pour convaincre: Lassalle","10 minutes pour convaincre","","","","","","2022-04-07","2024-07-15 11:33:29","2024-07-15 11:34:02","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Lassalle, Jean","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9NGQIRDC","tvBroadcast","2022","","10 minutes pour convaincre: Arthaud","10 minutes pour convaincre","","","","","","2022-04-05","2024-07-15 11:34:24","2024-07-15 11:34:52","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Arthaud, Nathalie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WHDPL7P6","tvBroadcast","2022","","10 minutes pour convaincre: Roussel","10 minutes pour convaincre","","","","","","2022-04-05","2024-07-15 11:34:56","2024-07-15 11:35:25","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Roussel, Fabien","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LBUCIQV","tvBroadcast","2022","","10 minutes pour convaincre: Jadot","10 minutes pour convaincre","","","","","","2022-04-04","2024-07-15 11:35:34","2024-07-15 11:36:00","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Jadot, Yannick","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILWNNVWM","tvBroadcast","2022","","10 minutes pour convaincre: Zemmour","10 minutes pour convaincre","","","","","","2022-04-04","2024-07-15 11:36:02","2024-07-15 11:36:11","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Zemmour, Eric","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYSCMP4Q","tvBroadcast","2022","","10 minutes pour convaincre: Dupont-Aignan","10 minutes pour convaincre","","","","","","2022-04-03","2024-07-15 11:36:32","2024-07-15 11:37:01","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Dupont-Aignan, Nicolas","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCVUMIN2","tvBroadcast","2022","","10 minutes pour convaincre: Poutou","10 minutes pour convaincre","","","","","","2022-04-03","2024-07-15 11:37:12","2024-07-15 11:37:23","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Poutou, Philippe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNJ3XHDV","tvBroadcast","2022","","10 minutes pour convaincre: Hidalgo","10 minutes pour convaincre","","","","","","2022-04-08","2024-07-15 11:37:45","2024-07-15 11:38:16","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Hidalgo, Anne","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA9GWS9S","tvBroadcast","2022","","10 minutes pour convaincre: Pécresse","10 minutes pour convaincre","","","","","","2022-04-08","2024-07-15 11:38:18","2024-07-15 11:38:29","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Pécresse, Valérie","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G89A8WQA","tvBroadcast","2022","","10 minutes pour convaincre: Le Pen","10 minutes pour convaincre","","","","","","2022-04-06","2024-07-15 11:38:43","2024-07-15 11:39:07","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Le Pen, Marine","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D774XPHD","tvBroadcast","2022","","10 minutes pour convaincre: Macron","10 minutes pour convaincre","","","","","","2022-04-06","2024-07-15 11:39:12","2024-07-15 11:39:27","","","","","","","","","","","","","TF1","TF1","Français","","","","","","","","","","","TF1; JT","","","","","","","","","","","","","","","","","","","Macron, Emmanuel","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
