zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
NUE33C36,2022-02-01 00:00:00,20h22 sur Twitch,2022-02-01,tvBroadcast,20h22 sur twitch: Zemmour,"Zemmour, Eric",20h22 sur twitch,,,Twitch,c299715d-6e17-49bb-81cc-a001379b1e4c
GAZCY7VE,2022-03-10 00:00:00,Backseat,2022-03-10,tvBroadcast,Backseat : Jadot,"Jadot, Yannick",Backseat,https://www.twitch.tv/videos/1421378900,#Jadot2022|#Backseat|#Changeons,Twitch,abcabaaa-a6cb-4441-9ee7-a32dda28fca4
6FJUX7RY,2022-02-10 00:00:00,Backseat,2022-02-10,tvBroadcast,Backseat : Poutou,"Poutou, Philippe",Backseat,https://poutou2022.org/node/156,,Twitch,99d93ee2-98ea-4ca3-b36f-b5ddcdf3b5ba
6FRL4BAA,2022-03-13 00:00:00,Le débat du siècle,2022-03-13,tvBroadcast,"Le débat du siècle: Jadot, Roussel, Hidalgo, Poutou, Pécresse","Jadot, Yannick; Roussel, Fabien; Hidalgo, Anne; Poutou, Philippe; Pécresse, Valérie",Le débat du siècle,https://www.youtube.com/watch?v=1-28-grEZjk,#DebatduSiècle,Twitch,f1af1d00-e3dd-4bbb-b12f-36cf7c7e8ba8
5HKTXKA9,2022-02-15 00:00:00,20h22 sur Twitch,2022-02-15,tvBroadcast,20h22 sur Twitch : Pécresse,"Pécresse, Valérie",20h22 sur Twitch,https://www.twitch.tv/videos/1299032652,,Twitch,a70366ed-d567-42e2-8121-c2b959abf8df
LRXAFKAH,2022-02-07 00:00:00,20h22 sur Twitch,2022-02-07,tvBroadcast,20h22 sur Twitch : Le Pen,"Le Pen, Marine",20h22 sur Twitch,,#LePen,Twitch,070038f2-1063-4799-b983-ea9565d69c51
6Z7QSDWE,2022-01-25 00:00:00,20h22 sur Twitch,2022-01-25,tvBroadcast,20h22 sur Twitch : Hidalgo,"Hidalgo, Anne",20h22 sur Twitch,https://www.twitch.tv/videos/1275720685 ; https://www.twitch.tv/videos/1275764978,,Twitch,02fa282f-563f-4be0-b1ed-12c4c062c96d
G5DGKAHU,2022-01-20 00:00:00,Backseat,2022-01-20,tvBroadcast,Backseat : Hidalgo,"Hidalgo, Anne",Backseat,https://www.twitch.tv/videos/1270073159,,Twitch,9cdb96e0-3b01-41f4-94cc-4dfd61dc0de4
8MKXN5F5,2022-02-10 00:00:00,Le débat du siècle,2022-03-16,tvBroadcast,Le débat du siècle: Mélenchon (rattrapage),"Mélenchon, Jean-Luc",Le débat du siècle,https://www.twitch.tv/videos/1424445409,#DebatduSiècle|#Mélenchon|#MelenchonPrésident2022,Twitch,2a493acd-8015-4be8-a079-fe079accb76d
YLZX5LZT,,,2022-03-23,tvBroadcast,Face à Baba : Pécresse,"Pécresse, Valérie",Face à Baba,https://www.cnews.fr/divertissement/2022-03-23/face-baba-sur-c8-qui-sont-les-invites-qui-debattront-ce-soir-avec-valerie,#FaceABaba|#Pecresse2022|#pecresse,C8,
NAA8HGSV,,,2022-03-16,tvBroadcast,Face à Baba : Le Pen,"Le Pen, Marine",Face à Baba,,#FaceABaba|#Mlafrance|#MarinePresidente,C8,
DXD8G4DJ,,,2022-01-27,tvBroadcast,Face à Baba : Mélenchon,"Mélenchon, Jean-Luc",Face à Baba,,#faceababa,C8,
T7F4XMDX,,,2022-03-23,tvBroadcast,Face à Baba : Roussel,"Roussel, Fabien",Face à Baba,,#FaceABaba|#Roussel|#Roussel2022,C8,
4WJAGYJF,,,2022-03-16,tvBroadcast,Face à Baba : Jadot,"Jadot, Yannick",Face à Baba,,#FaireFace|#jadot2022,C8,
MHW8MXAI,,,2022-04-07,tvBroadcast,10 minutes pour convaincre: Mélenchon,"Mélenchon, Jean-Luc",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#Mélenchon2022|#UnionPopulaire|#MélenchonTF1,TF1,
SBKXFTIM,,,2022-04-07,tvBroadcast,10 minutes pour convaincre: Lassalle,"Lassalle, Jean",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#LaFranceAuthentique|#TourBusJL2022|#JeanLassalle2022,TF1,
9NGQIRDC,,,2022-04-05,tvBroadcast,10 minutes pour convaincre: Arthaud,"Arthaud, Nathalie",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#Arthaud|#Arthaud2022,TF1,
WHDPL7P6,,,2022-04-05,tvBroadcast,10 minutes pour convaincre: Roussel,"Roussel, Fabien",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#LesJoursHeureux|#Roussel2022|#RousselTF1,TF1,
6LBUCIQV,,,2022-04-04,tvBroadcast,10 minutes pour convaincre: Jadot,"Jadot, Yannick",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#FaireFace|#Jadot2022|#JeVoteJadot,TF1,
ILWNNVWM,,,2022-04-04,tvBroadcast,10 minutes pour convaincre: Zemmour,"Zemmour, Eric",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#ZoZZ|#ZemmourPrésident|#Zemmour2022,TF1,
UYSCMP4Q,,,2022-04-03,tvBroadcast,10 minutes pour convaincre: Dupont-Aignan,"Dupont-Aignan, Nicolas",10 minutes pour convaincre,,#10MinutesPourConvaincre|#JT20h|#2022NDA|#ChoisirLaLiberté|#20h22,TF1,
